標準分類編碼,行情代號(水產品代號),品種,中文名稱,英文名稱,學名名稱,俗名名稱
4711247397292,,,猴頭菌,NA,Hericium erinaceus  (Bull ex Fr.) Pers.,猴頭蘑，花菜菇
4711247397308,MX1,,竹蓀,Net Bearing,Dictyophora indusiata  (Vent.ex Pers) Fisch,
4711247397315,,,竹蓀,Net Bearing,Dictyophora indusiata  (Vent.ex Pers) Fisch,
4711247397322,,,竹蓀,Net Bearing,Dictyophora indusiata  (Vent.ex Pers) Fisch,
4711247355018,,統稱(其他),根芹菜,Celeriac， Turnip-rooted celery,Apium graveolens  L. var.  rapaceum  Mill.,
4711247355094,LG9,統稱(其他),根芹菜,Celeriac， Turnip-rooted celery,Apium graveolens  L. var.  rapaceum  Mill.,
4711247356008,LP1,大葉種， 小葉種,芫荽統稱(其他),Coriander， Collender，Cilantro,Coriandrum sativum  L.,香菜，胡荽， 香荽，莞荽，松鬚菜
4711247356015,,大葉種， 小葉種,芫荽統稱(其他),Coriander， Collender，Cilantro,Coriandrum sativum  L.,香菜，胡荽， 香荽，莞荽，松鬚菜
4711247356091,LP9,大葉種， 小葉種,芫荽統稱(其他),Coriander， Collender，Cilantro,Coriandrum sativum  L.,香菜，胡荽， 香荽，莞荽，松鬚菜
4711247357005,LG4,統稱(其他),山芹菜,Japanese hone wort,Cryptotaenia japonica   Hassk,鴨兒芹，三葉芹
4711247357012,,統稱(其他),山芹菜,Japanese hone wort,Cryptotaenia japonica   Hassk,鴨兒芹，三葉芹
4711247357098,LG9,統稱(其他),山芹菜,Japanese hone wort,Cryptotaenia japonica   Hassk,鴨兒芹，三葉芹
4711247358002,,統稱(其他),胡蘿蔔,Carrot,Daucus carota  L. subsp. sativus,紅蘿蔔，紅菜頭，赤珊瑚，菜人參
4711247358019,,統稱(其他),胡蘿蔔,Carrot,Daucus carota  L. subsp. sativus,紅蘿蔔，紅菜頭，赤珊瑚，菜人參
4711247286312,,,蓮花,Lotus,Nelumbo nucifera  Gaertn,荷花
4711247286398,,,蓮花,Lotus,Nelumbo nucifera  Gaertn,荷花
4711247287005,,統稱(其他),野蓮,Water snowflake,Nymphoides hydrophylla  (N. cristata),水鱉
4711247287012,,統稱(其他),野蓮,Water snowflake,Nymphoides hydrophylla  (N. cristata),水鱉
4711247287098,,統稱(其他),野蓮,Water snowflake,Nymphoides hydrophylla  (N. cristata),水鱉
4711247288002,,統稱(其他),檳榔類,NA,,
4711247288019,,統稱(其他),檳榔類,NA,,
4711247288095,,統稱(其他),檳榔類,NA,,
4711247288101,,,檳榔筍,Areca nut， Betel nut palm， Catechu， Pinarg,Areca cathechn  L.,半天筍
4711247288118,,,檳榔筍,Areca nut， Betel nut palm， Catechu， Pinarg,Areca cathechn  L.,半天筍
4711247227209,FY4,,玉米筍,Baby corn,Zea mays  L.,
4711247227216,,,玉米筍,Baby corn,Zea mays  L.,
4711247227292,FY9,,玉米筍,Baby corn,Zea mays  L.,
4711247227308,FY1,本地種,白玉米,Corn,Zea mays  L.,番麥
4711247227315,,本地種,白玉米,Corn,Zea mays  L.,番麥
4711247227391,FY9,本地種,白玉米,Corn,Zea mays  L.,番麥
4711247227407,,糯玉米種，美珍，玉美珍,糯玉米,Waxy corn,Zea mays  L. var.  ceratina kulese,
